scenario_id,node_id,window_id,window_start,window_end,duration,n_pkts,n_bsm,n_flood,flood_ratio,total_bytes,pkt_rate,byte_rate,mean_iat,std_iat,min_iat,max_iat,bsm_mean_iat,bsm_std_iat,flood_mean_iat,flood_std_iat,mean_pkt_size,std_pkt_size,mean_pos_deviation,max_pos_deviation,mean_speed_deviation,max_speed_deviation,heading_change_rate,seq_anomaly,unique_vehicle_ids,msg_freq,bsm_size_mean,bsm_size_std,true_speed_mean,true_speed_std,distance_to_gnb,region_id,label_binary,label_attack_type
S00,0,0,2.0,32.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,164.61,1,0,Benign
S00,0,1,17.0,47.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,43.98,1,0,Benign
S00,0,2,32.0,62.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,98.34,1,0,Benign
S00,0,3,47.0,77.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,179.65,2,0,Benign
S00,0,4,62.0,92.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,56.58,2,0,Benign
S00,0,5,77.0,107.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,83.84,2,0,Benign
S00,0,6,92.0,122.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,194.72,3,0,Benign
S00,0,7,107.0,137.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,70.24,3,0,Benign
S00,0,8,122.0,152.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,69.65,3,0,Benign
S00,0,9,137.0,167.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,194.08,3,0,Benign
S00,0,10,152.0,182.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,321.53,3,0,Benign
S00,0,11,167.0,197.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,449.43,3,0,Benign
S00,0,12,182.0,212.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,577.49,3,0,Benign
S00,0,13,197.0,227.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,705.62,3,0,Benign
S00,0,14,212.0,242.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,833.79,3,0,Benign
S00,0,15,227.0,257.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,961.98,3,0,Benign
S00,0,16,242.0,272.0,29.9,300,300,0,0.0,60000,10.0334,2006.689,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0334,200.0,0.0,8.5502,0.0,1090.19,3,0,Benign
